Actual number of partitions = 16
Maximum partition = 15
Number of reaches = 45
Partition 0 weight = 5227
Partition 1 weight = 6546
Partition 2 weight = 5520
Partition 3 weight = 8043
Partition 4 weight = 4480
Partition 5 weight = 4660
Partition 6 weight = 2848
Partition 7 weight = 9059
Partition 8 weight = 3267
Partition 9 weight = 3691
Partition 10 weight = 8707
Partition 11 weight = 4333
Partition 12 weight = 3340
Partition 13 weight = 5673
Partition 14 weight = 5701
Partition 15 weight = 4452
