Actual number of partitions = 24
Maximum partition = 47
Number of reaches = 45
Partition 0 weight = 0
Partition 1 weight = 0
Partition 2 weight = 3241
Partition 3 weight = 0
Partition 4 weight = 2557
Partition 5 weight = 1134
Partition 6 weight = 4919
Partition 7 weight = 579
Partition 8 weight = 2307
Partition 9 weight = 0
Partition 10 weight = 0
Partition 11 weight = 4333
Partition 12 weight = 0
Partition 13 weight = 0
Partition 14 weight = 3788
Partition 15 weight = 0
Partition 16 weight = 0
Partition 17 weight = 4452
Partition 18 weight = 2997
Partition 19 weight = 343
Partition 20 weight = 4598
Partition 21 weight = 0
Partition 22 weight = 0
Partition 23 weight = 3510
Partition 24 weight = 2321
Partition 25 weight = 0
Partition 26 weight = 2159
Partition 27 weight = 0
Partition 28 weight = 0
Partition 29 weight = 4660
Partition 30 weight = 0
Partition 31 weight = 0
Partition 32 weight = 2848
Partition 33 weight = 0
Partition 34 weight = 2487
Partition 35 weight = 9059
Partition 36 weight = 2450
Partition 37 weight = 0
Partition 38 weight = 1590
Partition 39 weight = 0
Partition 40 weight = 0
Partition 41 weight = 6546
Partition 42 weight = 0
Partition 43 weight = 0
Partition 44 weight = 4626
Partition 45 weight = 0
Partition 46 weight = 0
Partition 47 weight = 8043
